backbone,data_pct,fold,seed,accuracy,f1,roc_auc,pr_auc,sensitivity
efficientnet_b0,5,1,42,0.97512,0.95,0.99567,0.9883,0.96939
mobilenet_v3,5,1,42,0.74378,0.65085,0.9281,0.79837,0.97959
efficientnet_b0,10,1,42,0.98756,0.97462,0.99147,0.99071,0.97959
mobilenet_v3,10,1,42,0.96517,0.92553,0.99403,0.98379,0.88776
efficientnet_b0,20,1,42,0.99005,0.97917,0.99389,0.99102,0.95918
mobilenet_v3,20,1,42,0.95025,0.90566,0.99654,0.99271,0.97959
efficientnet_b0,50,1,42,0.98756,0.97462,0.98614,0.986,0.97959
mobilenet_v3,50,1,42,0.98756,0.97462,0.9955,0.99217,0.97959
efficientnet_b0,100,1,42,0.99254,0.98462,0.98765,0.98663,0.97959
mobilenet_v3,100,1,42,0.99254,0.98462,0.98936,0.9852,0.97959
efficientnet_b0,5,2,42,0.9484,0.90323,0.99036,0.96391,0.98
mobilenet_v3,5,2,42,0.7543,0.61832,0.86026,0.70956,0.81
efficientnet_b0,10,2,42,0.98526,0.9703,0.99456,0.98043,0.98
mobilenet_v3,10,2,42,0.9656,0.93069,0.98974,0.96218,0.94
efficientnet_b0,20,2,42,0.9656,0.92708,0.99371,0.98307,0.89
mobilenet_v3,20,2,42,0.97052,0.94059,0.99342,0.98045,0.95
efficientnet_b0,50,2,42,0.98771,0.97537,0.99834,0.99404,0.99
mobilenet_v3,50,2,42,0.97543,0.94898,0.99736,0.99095,0.93
efficientnet_b0,100,2,42,0.98771,0.97537,0.99863,0.99558,0.99
mobilenet_v3,100,2,42,0.98034,0.96,0.9984,0.99495,0.96
efficientnet_b0,5,3,42,0.93643,0.86022,0.98777,0.94246,0.97561
mobilenet_v3,5,3,42,0.66015,0.53821,0.8679,0.57065,0.9878
efficientnet_b0,10,3,42,0.96088,0.91111,0.99414,0.96979,1.0
mobilenet_v3,10,3,42,0.96333,0.91329,0.98833,0.92455,0.96341
efficientnet_b0,20,3,42,0.98289,0.95858,0.99444,0.96165,0.9878
mobilenet_v3,20,3,42,0.97311,0.93491,0.99269,0.92948,0.96341
efficientnet_b0,50,3,42,0.98044,0.95294,0.9937,0.94238,0.9878
mobilenet_v3,50,3,42,0.98044,0.95122,0.99127,0.92534,0.95122
efficientnet_b0,100,3,42,0.98289,0.95906,0.99373,0.94815,1.0
mobilenet_v3,100,3,42,0.98289,0.95808,0.99385,0.96056,0.97561
efficientnet_b0,5,4,42,0.9575,0.9071,0.99615,0.98725,0.96512
mobilenet_v3,5,4,42,0.615,0.52174,0.88679,0.70347,0.97674
efficientnet_b0,10,4,42,0.9825,0.96089,0.9997,0.99899,1.0
mobilenet_v3,10,4,42,0.9475,0.89119,0.99963,0.99867,1.0
efficientnet_b0,20,4,42,0.99,0.97727,0.99993,0.99973,1.0
mobilenet_v3,20,4,42,0.9875,0.97041,0.99944,0.998,0.95349
efficientnet_b0,50,4,42,0.99,0.97727,0.9997,0.99894,1.0
mobilenet_v3,50,4,42,0.99,0.97701,0.99981,0.99934,0.98837
efficientnet_b0,100,4,42,0.9975,0.99415,0.99996,0.99987,0.98837
mobilenet_v3,100,4,42,0.9925,0.98266,0.99985,0.99948,0.98837
efficientnet_b0,5,5,42,0.96078,0.91398,0.98863,0.97337,0.91398
mobilenet_v3,5,5,42,0.83333,0.68224,0.89855,0.66764,0.78495
efficientnet_b0,10,5,42,0.98775,0.97297,0.99724,0.9941,0.96774
mobilenet_v3,10,5,42,0.95588,0.90909,0.99065,0.96917,0.96774
efficientnet_b0,20,5,42,0.97794,0.95238,0.99184,0.98557,0.96774
mobilenet_v3,20,5,42,0.99265,0.98378,0.99532,0.99331,0.97849
efficientnet_b0,50,5,42,0.98529,0.96809,0.99556,0.9921,0.97849
mobilenet_v3,50,5,42,0.98775,0.97268,0.99689,0.99319,0.95699
efficientnet_b0,100,5,42,0.9951,0.98913,0.99618,0.99214,0.97849
mobilenet_v3,100,5,42,0.9902,0.97826,0.99788,0.9941,0.96774
