model,student,fold,temperature,alpha,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,specificity,sensitivity
teacher,efficientnet_b0,1,,,0.99254,0.98969,0.97959,0.98462,0.98984,0.98721,0.9869,0.99671,0.97959
baseline,mobilenet_v3,1,4.0,,0.97512,0.96809,0.92857,0.94792,0.96579,0.99265,0.98102,0.99013,0.92857
distilled_T1.0_a0.7,mobilenet_v3,1,1.0,0.7,0.99254,0.98969,0.97959,0.98462,0.98984,0.99486,0.99038,0.99671,0.97959
teacher,efficientnet_b0,2,,,0.99017,0.97059,0.99,0.9802,0.98683,0.99893,0.99656,0.99023,0.99
baseline,mobilenet_v3,2,4.0,,0.97789,0.9596,0.95,0.95477,0.97007,0.99798,0.99326,0.98697,0.95
distilled_T1.0_a0.7,mobilenet_v3,2,1.0,0.7,0.98034,0.96939,0.95,0.9596,0.9733,0.99798,0.99326,0.99023,0.95
teacher,efficientnet_b0,3,,,0.98044,0.91111,1.0,0.95349,0.97055,0.99383,0.93492,0.97554,1.0
baseline,mobilenet_v3,3,4.0,,0.97555,0.9186,0.96341,0.94048,0.96255,0.99359,0.96067,0.97859,0.96341
distilled_T1.0_a0.7,mobilenet_v3,3,1.0,0.7,0.96577,0.86957,0.97561,0.91954,0.9489,0.99437,0.96272,0.9633,0.97561
teacher,efficientnet_b0,4,,,0.98,0.91489,1.0,0.95556,0.97133,1.0,1.0,0.97452,1.0
baseline,mobilenet_v3,4,4.0,,0.995,0.98837,0.98837,0.98837,0.99259,0.99978,0.99919,0.99682,0.98837
distilled_T1.0_a0.7,mobilenet_v3,4,1.0,0.7,0.99,0.95556,1.0,0.97727,0.98543,0.99978,0.99917,0.98726,1.0
teacher,efficientnet_b0,5,,,0.98284,0.94792,0.97849,0.96296,0.9759,0.98979,0.99026,0.98413,0.97849
baseline,mobilenet_v3,5,4.0,,0.9951,1.0,0.97849,0.98913,0.99298,0.99611,0.99307,1.0,0.97849
distilled_T1.0_a0.7,mobilenet_v3,5,1.0,0.7,0.9902,1.0,0.95699,0.97802,0.98586,0.99829,0.99594,1.0,0.95699
