source,group,metric,mean,std,ci95_halfwidth,n
centralized,efficientnet_b0,accuracy,0.9852,0.00578,0.00507,5
centralized,efficientnet_b0,f1,0.96737,0.01426,0.0125,5
centralized,efficientnet_b0,roc_auc,0.99395,0.00557,0.00488,5
centralized,efficientnet_b0,pr_auc,0.98173,0.02667,0.02337,5
centralized,efficientnet_b0,sensitivity,0.98962,0.01049,0.00919,5
centralized,efficientnet_b0,specificity,0.98423,0.00951,0.00833,5
centralized,mobilenet_v3,accuracy,0.98668,0.00725,0.00635,5
centralized,mobilenet_v3,f1,0.97037,0.01799,0.01577,5
centralized,mobilenet_v3,roc_auc,0.99427,0.00671,0.00588,5
centralized,mobilenet_v3,pr_auc,0.98487,0.01553,0.01361,5
centralized,mobilenet_v3,sensitivity,0.98485,0.00538,0.00471,5
centralized,mobilenet_v3,specificity,0.98739,0.01035,0.00908,5
centralized,resnet50,accuracy,0.98768,0.0067,0.00587,5
centralized,resnet50,f1,0.97328,0.01367,0.01198,5
centralized,resnet50,roc_auc,0.99653,0.00432,0.00378,5
centralized,resnet50,pr_auc,0.98767,0.01703,0.01493,5
centralized,resnet50,sensitivity,0.98373,0.01823,0.01598,5
centralized,resnet50,specificity,0.98921,0.00642,0.00563,5
fedavg,noniid,accuracy,0.99005,0.0,0.0,1
fedavg,noniid,f1,0.97938,0.0,0.0,1
fedavg,noniid,roc_auc,0.9948,0.0,0.0,1
fedavg,noniid,pr_auc,0.99068,0.0,0.0,1
fedavg,noniid,sensitivity,0.96939,0.0,0.0,1
fedavg,noniid,specificity,0.99671,0.0,0.0,1
