fold,backbone,loss,finetune_mode,n_test,seed,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,specificity,sensitivity,ece,f1_ci_low,f1_ci_high
1,mobilenet_v3,weighted_ce,frozen,402,42,0.99005,0.97959,0.97959,0.97959,0.98651,0.98909,0.98844,0.99342,0.97959,0.01634,0.95813,0.99512
1,mobilenet_v3,weighted_ce,partial,402,42,0.99005,0.97959,0.97959,0.97959,0.98651,0.99198,0.98972,0.99342,0.97959,0.00573,0.95813,0.99512
1,mobilenet_v3,weighted_ce,full,402,42,0.98756,0.97938,0.96939,0.97436,0.98307,0.99097,0.98869,0.99342,0.96939,0.01796,0.94949,0.99465
1,efficientnet_b0,weighted_ce,frozen,402,42,0.9801,0.95,0.96939,0.9596,0.9732,0.99721,0.99357,0.98355,0.96939,0.03195,0.92856,0.98447
1,efficientnet_b0,weighted_ce,partial,402,42,0.98507,0.96,0.97959,0.9697,0.9799,0.99497,0.9909,0.98684,0.97959,0.01407,0.94441,0.9903
1,efficientnet_b0,weighted_ce,full,402,42,0.99254,0.98969,0.97959,0.98462,0.98984,0.98721,0.9869,0.99671,0.97959,0.00436,0.96517,1.0
1,resnet50,weighted_ce,frozen,402,42,0.93532,0.8,0.97959,0.88073,0.91818,0.98996,0.97419,0.92105,0.97959,0.09301,0.83018,0.92228
1,resnet50,weighted_ce,partial,402,42,0.9801,0.95918,0.95918,0.95918,0.97301,0.99312,0.98947,0.98684,0.95918,0.01426,0.92653,0.98324
1,resnet50,weighted_ce,full,402,42,0.98756,0.97938,0.96939,0.97436,0.98307,0.98946,0.9871,0.99342,0.96939,0.01202,0.94844,0.99482
